Brand_Reg,Model_No,screensize,Screen_Tech,Avg_mode_power,Star2,Screen_Size_Inch,Advertised_Size_Int,Advertised_Size_Category
Samsung Electronics,QA77S89CAW,195.177,LCD (LED),178,4.5,76.84133858,77,77.0 inch
Englaon,LED24M40,59.774,LCD (LED),16.5,5.5,23.53307087,24,24.0 inch
Englaon,LED24M80,59.81,LCD (LED),20.3,5,23.54724409,24,24.0 inch
Englaon,LED24X80,59.81,LCD (LED),20.3,5,23.54724409,24,24.0 inch
Englaon,24in Smart TV,59.81,LCD (LED),20.3,5,23.54724409,24,24.0 inch
Blaupunkt,BP50WOS2,125.731,LCD (LED),78.5,4,49.5003937,50,50.0 inch
Lg,55UQ7050PSA,138.783,LCD (LED),90,5,54.63897638,55,55.0 inch
Lg,50UQ7050PSA,125.731,LCD (LED),83,4.5,49.5003937,50,50.0 inch
Lg,43UQ7050PSA,107.987,LCD (LED),74,3.5,42.51456693,43,43.0 inch
Kogan,KALED22F5ZA,54.626,LCD,25.2,3.5,21.50629921,22,22.0 inch
Kogan,KALED22F5ZB,54.626,LCD,25.2,3.5,21.50629921,22,22.0 inch
Kogan,KALED22F5ZC,54.626,LCD,25.2,3.5,21.50629921,22,22.0 inch
Kogan,KALED22F5ZD,54.626,LCD,25.2,3.5,21.50629921,22,22.0 inch
Kogan,KALED22F5Z*,54.626,LCD,25.2,3.5,21.50629921,22,22.0 inch
Samsung Electronics,QA75QE1CAW,189.338,LCD (LED),130,6,74.54251969,75,75.0 inch
Samsung Electronics,QA75QE1CAS,189.338,LCD (LED),130,6,74.54251969,75,75.0 inch
Samsung Electronics,QA75QE1CA*,189.338,LCD (LED),130,6,74.54251969,75,75.0 inch
Samsung Electronics,QA55QE1CAS,138.783,LCD (LED),82,5.5,54.63897638,55,55.0 inch
Toshiba,75Z870MP,189.274,LCD (LED),199.04,4,74.51732283,75,75.0 inch
Toshiba,65Z870MP,163.896,LCD (LED),129.47,4.5,64.52598425,65,65.0 inch
Toshiba,55Z870MP,138.783,LCD (LED),115.82,3.5,54.63897638,55,55.0 inch
Kogan,KALED50R93STA,125.638,LCD (LED),69.15,5,49.46377953,50,50.0 inch
Kogan,KALED50R93STB,125.638,LCD (LED),69.15,5,49.46377953,50,50.0 inch
Kogan,KALED50R93STC,125.638,LCD (LED),69.15,5,49.46377953,50,50.0 inch
Kogan,KALED50R93STD,125.638,LCD (LED),69.15,5,49.46377953,50,50.0 inch
Kogan,KALED50R93STE,125.638,LCD (LED),69.15,5,49.46377953,50,50.0 inch
Kogan,KALED55R93STA,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Kogan,KALED55R93STB,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Kogan,KALED55R93STC,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Kogan,KALED55R93STD,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Kogan,KALED55R93STE,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Thomson,STVLED43FHDB,107.953,LCD (LED),41.53,6,42.5011811,43,43.0 inch
Hisense,85U7KAU,214.783,LCD (LED),217.19,4.5,84.56023622,85,85.0 inch
Hisense,85U7KNZ,214.783,LCD (LED),217.19,4.5,84.56023622,85,85.0 inch
Hisense,85U7K series,214.783,LCD (LED),217.19,4.5,84.56023622,85,85.0 inch
Hisense,75U7KAU,189.34,LCD (LED),157.47,5,74.54330709,75,75.0 inch
Hisense,75U7KNZ,189.34,LCD (LED),157.47,5,74.54330709,75,75.0 inch
Hisense,75U7K series,189.34,LCD (LED),157.47,5,74.54330709,75,75.0 inch
Hisense,65U7KAU,163.896,LCD (LED),109.65,5,64.52598425,65,65.0 inch
Hisense,65U7KNZ,163.896,LCD (LED),109.65,5,64.52598425,65,65.0 inch
Hisense,65U7K series,163.896,LCD (LED),109.65,5,64.52598425,65,65.0 inch
Hisense,55U7KAU,138.783,LCD (LED),82.05,5,54.63897638,55,55.0 inch
Hisense,55U7KNZ,138.783,LCD (LED),82.05,5,54.63897638,55,55.0 inch
Hisense,55U7K series,138.783,LCD (LED),82.05,5,54.63897638,55,55.0 inch
Lg,75UM767H0LD,189.275,LCD (LED),70,8,74.51771654,75,75.0 inch
Lg,65UM767H0LD,163.897,LCD (LED),65,7,64.52637795,65,65.0 inch
Lg,55UM767H0LD,138.783,LCD (LED),59,7,54.63897638,55,55.0 inch
Lg,50UM767H0LD,125.727,LCD (LED),45,7,49.4988189,50,50.0 inch
Lg,43UM767H0LD,107.987,LCD (LED),43,6,42.51456693,43,43.0 inch
Kogan,KALED50U94TA,125.638,LCD (LED),75,5,49.46377953,50,50.0 inch
Kogan,KALED50U94TB,125.638,LCD (LED),75,5,49.46377953,50,50.0 inch
Kogan,KALED50U94TC,125.638,LCD (LED),75,5,49.46377953,50,50.0 inch
Kogan,KALED50U94TD,125.638,LCD (LED),75,5,49.46377953,50,50.0 inch
Kogan,KALED50U94TE,125.638,LCD (LED),75,5,49.46377953,50,50.0 inch
Kogan,KAQLED98XQ98JSTA,247.691,LCD (LED),323,4,97.51614173,98,98.0 inch
Kogan,KAQLED98XQ98JSTB,247.691,LCD (LED),323,4,97.51614173,98,98.0 inch
Kogan,KAQLED98XQ98JSTC,247.691,LCD (LED),323,4,97.51614173,98,98.0 inch
Kogan,KAQLED98XQ98JSTD,247.691,LCD (LED),323,4,97.51614173,98,98.0 inch
Kogan,KAQLED98XQ98JSTE,247.691,LCD (LED),323,4,97.51614173,98,98.0 inch
Kogan,KALED55U94TA,138.783,LCD (LED),80.814,5.5,54.63897638,55,55.0 inch
Kogan,KALED55U94TB,138.783,LCD (LED),80.814,5.5,54.63897638,55,55.0 inch
Kogan,KALED55U94TC,138.783,LCD (LED),80.814,5.5,54.63897638,55,55.0 inch
Kogan,KALED55U94TD,138.783,LCD (LED),80.814,5.5,54.63897638,55,55.0 inch
Kogan,KALED55U94TE,138.783,LCD (LED),80.814,5.5,54.63897638,55,55.0 inch
Furrion,FDFD24D4D-H2,60.47,LCD (LED),25.58,4.5,23.80708661,24,24.0 inch
Kogan,KALED75U94TA,189.306,LCD (LED),137.1,5.5,74.52992126,75,75.0 inch
Kogan,KALED75U94TB,189.306,LCD (LED),137.1,5.5,74.52992126,75,75.0 inch
Kogan,KALED75U94TC,189.306,LCD (LED),137.1,5.5,74.52992126,75,75.0 inch
Kogan,KALED75U94TD,189.306,LCD (LED),137.1,5.5,74.52992126,75,75.0 inch
Kogan,KALED75U94TE,189.306,LCD (LED),137.1,5.5,74.52992126,75,75.0 inch
Blaupunkt,BP430FSG9700,107.953,LCD (LED),53.5,5,42.5011811,43,43.0 inch
Lg,OLED97M3PSA,245.145,OLED,258,5,96.51377953,97,97.0 inch
Lg,OLED83M3PSA,209.585,OLED,212,4.5,82.51377953,83,83.0 inch
Lg,OLED77M3PSA,194.738,OLED,216,4,76.66850394,77,77.0 inch
Tcl,32S5400AF,79.967,LCD (LED),27,5.5,31.48307087,32,32.0 inch
Tcl,40S5400A,100.305,LCD (LED),35.6,5,39.49015748,40,40.0 inch
Sylvox,RT32R3KECA,80.131,LCD (LED),31.4,5,31.5476378,32,32.0 inch
Samsung Electronics,QA50QE1CAS,125.727,LCD (LED),76,5,49.4988189,50,50.0 inch
Samsung Electronics,QA98QN990CW,247.688,LCD (LED),389,3.5,97.51496063,98,98.0 inch
Tcl,85P745,214.783,LCD (LED),174.4,5,84.56023622,85,85.0 inch
Tcl,55C645,138.711,LCD (LED),97.8,4,54.61062992,55,55.0 inch
Jvc,LT-32ND35A2,80.039,LCD (LED),35.3,4,31.51141732,32,32.0 inch
Kogan,KALED65U94TA,163.791,LCD (LED),102.9,5.5,64.48464567,65,65.0 inch
Kogan,KALED65U94TB,163.791,LCD (LED),102.9,5.5,64.48464567,65,65.0 inch
Kogan,KALED65U94TC,163.791,LCD (LED),102.9,5.5,64.48464567,65,65.0 inch
Kogan,KALED65U94TD,163.791,LCD (LED),102.9,5.5,64.48464567,65,65.0 inch
Kogan,KALED65U94TE,163.791,LCD (LED),102.9,5.5,64.48464567,65,65.0 inch
Kogan,KAQLED43XQ98JSTA,107.95,LCD (LED),90.1,2.5,42.5,43,43.0 inch
Kogan,KAQLED43XQ98JSTB,107.95,LCD (LED),90.1,2.5,42.5,43,43.0 inch
Kogan,KAQLED43XQ98JSTC,107.95,LCD (LED),90.1,2.5,42.5,43,43.0 inch
Kogan,KAQLED43XQ98JSTD,107.95,LCD (LED),90.1,2.5,42.5,43,43.0 inch
Kogan,KAQLED43XQ98JSTE,107.95,LCD (LED),90.1,2.5,42.5,43,43.0 inch
Blaupunkt,BP320HSG9800,79.831,LCD,34.296,5,31.42952756,32,32.0 inch
Eko,K650USGQ2,163.954,LCD,234.49,2,64.5488189,65,65.0 inch
Eko,K650UGTQ,163.954,LCD,234.49,2,64.5488189,65,65.0 inch
Tcl,85C845,214.783,LCD (LED),306,2.5,84.56023622,85,85.0 inch
Loewe,WE SEE 50,125.638,LCD (LED),68,5.5,49.46377953,50,50.0 inch
Loewe,WE SEE 55,138.711,LCD (LED),84,5,54.61062992,55,55.0 inch
Loewe,WE SEE 32,80.054,LCD (LED),34,5,31.51732283,32,32.0 inch
Loewe,BILD C 32,80.054,LCD (LED),34,5,31.51732283,32,32.0 inch
Loewe,LED 32,80.054,LCD (LED),34,5,31.51732283,32,32.0 inch
Loewe,WE SEE 43,107.95,LCD (LED),65.8,4,42.5,43,43.0 inch
Loewe,C43,107.95,LCD (LED),65.8,4,42.5,43,43.0 inch
Loewe,LOEWE *43,107.95,LCD (LED),65.8,4,42.5,43,43.0 inch
Sylvox,RT24R3KECA,60.47,LCD (LED),21,5,23.80708661,24,24.0 inch
Hubbl Glass,LT055A-04-FXTL,138.711,LCD (LED),64.71,6,54.61062992,55,55.0 inch
Hubbl Glass,LT043A-04-FXTL,108.048,LCD (LED),50.73,5,42.53858268,43,43.0 inch
Sylvox,RT22R3KECA,54.485,LCD (LED),17.8,5,21.4507874,22,22.0 inch
Sylvox,OT65A2KEGC,163.896,LCD (LED),237.1,2,64.52598425,65,65.0 inch
Sylvox,OT55A2KEGC,138.783,LCD (LED),168.3,2,54.63897638,55,55.0 inch
Sylvox,OT43A2KEGC,107.987,LCD (LED),107.8,2,42.51456693,43,43.0 inch
Hisense,85A7KAU,214.783,LCD (LED),177.41,5.5,84.56023622,85,85.0 inch
Hisense,85A7KNZ,214.783,LCD (LED),177.41,5.5,84.56023622,85,85.0 inch
Hisense,85A7K series,214.783,LCD (LED),177.41,5.5,84.56023622,85,85.0 inch
Hisense,75A7KAU,189.34,LCD (LED),127.12,6,74.54330709,75,75.0 inch
Hisense,75A7KNZ,189.34,LCD (LED),127.12,6,74.54330709,75,75.0 inch
Hisense,75A7K series,189.34,LCD (LED),127.12,6,74.54330709,75,75.0 inch
Hisense,65A7KAU,163.896,LCD (LED),102.3,5.5,64.52598425,65,65.0 inch
Hisense,65A7KNZ,163.896,LCD (LED),102.3,5.5,64.52598425,65,65.0 inch
Hisense,65A7K series,163.896,LCD (LED),102.3,5.5,64.52598425,65,65.0 inch
Hisense,55A7KAU,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Hisense,55A7KNZ,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Hisense,55A7K series,138.783,LCD (LED),77.8,5.5,54.63897638,55,55.0 inch
Hisense,43A7KAU,107.986,LCD (LED),64.97,4,42.51417323,43,43.0 inch
Hisense,43A7KNZ,107.986,LCD (LED),64.97,4,42.51417323,43,43.0 inch
Hisense,43A7K series,107.986,LCD (LED),64.97,4,42.51417323,43,43.0 inch
Kogan,KALED40F98TA,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40F98TB,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40F98TC,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40F98TD,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED40F98TE,100.305,LCD (LED),40,6,39.49015748,40,40.0 inch
Kogan,KALED32F98TA,79.967,LCD (LED),28,6,31.48307087,32,32.0 inch
Kogan,KALED32F98TB,79.967,LCD (LED),28,6,31.48307087,32,32.0 inch
Kogan,KALED32F98TC,79.967,LCD (LED),28,6,31.48307087,32,32.0 inch
Kogan,KALED32F98TD,79.967,LCD (LED),28,6,31.48307087,32,32.0 inch
Kogan,KALED32F98TE,79.967,LCD (LED),28,6,31.48307087,32,32.0 inch
Philips,65OLED708/75,163.897,OLED,114.8,5,64.52637795,65,65.0 inch
Philips,65OLED708/79,163.897,OLED,114.8,5,64.52637795,65,65.0 inch
Philips,55OLED708/75,138.798,OLED,99.5,4,54.64488189,55,55.0 inch
Philips,55OLED708/79,138.798,OLED,99.5,4,54.64488189,55,55.0 inch
Chiq,U98F8TG,247.604,LCD (LED),337,4,97.48188976,98,98.0 inch
Lg,75QNED756RA,189.275,LCD (LED),130,6,74.51771654,75,75.0 inch
Lg,75QNED75SRA,189.275,LCD (LED),126,6,74.51771654,75,75.0 inch
Lg,65QNED756RA,163.897,LCD (LED),109,5.5,64.52637795,65,65.0 inch
Lg,65QNED75SRA,163.897,LCD (LED),114,5,64.52637795,65,65.0 inch
Lg,55QNED756RA,138.783,LCD (LED),87,5,54.63897638,55,55.0 inch
Lg,55QNED75SRA,138.783,LCD (LED),92,5,54.63897638,55,55.0 inch
Lg,50QNED756RA,125.727,LCD (LED),68,5.5,49.4988189,50,50.0 inch
Lg,50QNED75SRA,125.727,LCD (LED),72,5,49.4988189,50,50.0 inch
Lg,43QNED756RA,107.987,LCD (LED),82,3.5,42.51456693,43,43.0 inch
Lg,43QNED75SRA,107.987,LCD (LED),70,4,42.51456693,43,43.0 inch
Eko,K55USWQ,138.783,LCD (LED),117.3,3.5,54.63897638,55,55.0 inch
Eko,K65USWQ2,163.897,LCD (LED),113.9,5,64.52637795,65,65.0 inch
Lg,86QNED866RE,217.425,LCD (LED),206,5,85.6003937,86,86.0 inch
Lg,75QNED866RE,189.275,LCD (LED),150,5,74.51771654,75,75.0 inch
Lg,65QNED866RE,163.897,LCD (LED),125,5,64.52637795,65,65.0 inch
Sylvox,KT16A0KGEA,39.487,LCD (LED),15.1,4.5,15.54606299,16,16.0 inch
Jvc,LT-50N7145A,125.251,LCD,102.36,3.5,49.31141732,50,50.0 inch
Bauhn,ATV50UHDT-0823,125.727,LCD,56.7,6,49.4988189,50,50.0 inch
Toshiba,75C350MP,189.274,LCD (LED),114.36,6,74.51732283,75,75.0 inch
Toshiba,65C350MP,163.896,LCD (LED),82.49,6,64.52598425,65,65.0 inch
Toshiba,55C350MP,138.783,LCD (LED),63.89,6,54.63897638,55,55.0 inch
Toshiba,50C350MP,125.731,LCD (LED),67.75,5,49.5003937,50,50.0 inch
Toshiba,43C350MP,107.986,LCD (LED),51.12,5,42.51417323,43,43.0 inch
Lg,86UR801C0SB,217.425,LCD (LED),250,4,85.6003937,86,86.0 inch
Lg,86UR801C0LA,217.425,LCD (LED),250,4,85.6003937,86,86.0 inch
Lg,75UR801C0SB,189.275,LCD (LED),165,5,74.51771654,75,75.0 inch
Lg,75UR801C0LJ,189.275,LCD (LED),165,5,74.51771654,75,75.0 inch
Lg,65UR801C0SB,163.897,LCD (LED),127,4.5,64.52637795,65,65.0 inch
Lg,65UR781C0LL,163.897,LCD (LED),127,4.5,64.52637795,65,65.0 inch
Lg,55UR801C0SB,138.783,LCD (LED),97,4.5,54.63897638,55,55.0 inch
Lg,55UR781C0LL,138.783,LCD (LED),97,4.5,54.63897638,55,55.0 inch
Lg,50UR801C0SB,125.727,LCD (LED),78,4.5,49.4988189,50,50.0 inch
Lg,50UR781C0LL,125.727,LCD (LED),78,4.5,49.4988189,50,50.0 inch
Lg,43UR801C0SB,107.987,LCD (LED),73,4,42.51456693,43,43.0 inch
Lg,43UR781C0LL,107.987,LCD (LED),73,4,42.51456693,43,43.0 inch
Sony,XR-77A95L,195.173,OLED,147.7,5.5,76.83976378,77,77.0 inch
Eko,K32HSW,80.039,LCD (LED),48.19,3.5,31.51141732,32,32.0 inch
Jvc,AV-J243145A,59.824,LCD (LED),17.0946,5.5,23.55275591,24,24.0 inch
Philips,65PUT8808/79,163.897,LCD (LED),142.4,4,64.52637795,65,65.0 inch
Philips,65PUT8808/75,163.897,LCD (LED),142.4,4,64.52637795,65,65.0 inch
Tcl,75P745,189.306,LCD (LED),113.6,6,74.52992126,75,75.0 inch
Tcl,65P745,163.829,LCD (LED),74.4,6,64.4996063,65,65.0 inch
Tcl,55P745,138.711,LCD (LED),55.5,6,54.61062992,55,55.0 inch
Tcl,50P745,125.638,LCD (LED),52.3,6,49.46377953,50,50.0 inch
Tcl,43P745,107.95,LCD (LED),47.1,5,42.5,43,43.0 inch
Philips,55PUT8808/79,138.798,LCD (LED),136.6,2.5,54.64488189,55,55.0 inch
Philips,55PUT8808/75,138.798,LCD (LED),136.6,2.5,54.64488189,55,55.0 inch
Philips,75PUT7908/79,189.306,LCD (LED),144.1,5,74.52992126,75,75.0 inch
Philips,75PUT7908/75,189.306,LCD (LED),144.1,5,74.52992126,75,75.0 inch
Philips,75PUT8808/79,189.306,LCD (LED),153.1,4.5,74.52992126,75,75.0 inch
Philips,75PUT8808/75,189.306,LCD (LED),153.1,4.5,74.52992126,75,75.0 inch
Eko,K420FSG,105.348,LCD,48.96,5.5,41.47559055,42,42.0 inch
Philips,65PUT7908/79,163.897,LCD (LED),129.8,4,64.52637795,65,65.0 inch
Philips,65PUT7908/75,163.897,LCD (LED),129.8,4,64.52637795,65,65.0 inch
Philips,55PUT7908/79,138.798,LCD (LED),102.3,4,54.64488189,55,55.0 inch
